kode,desa,kode_kecamatan,kecamatan,kode_kabkot,kabkot
73.71.01.1001,Bontorannu,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1002,Mattoangin,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1003,Kunjung Mae,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1004,Lette,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1005,Panambungan,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1006,Mariso,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1007,Mario,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1008,Kampung Buyang,73.71.01,Mariso,73.71,Kota Makassar
73.71.01.1009,Tamarunang,73.71.01,Mariso,73.71,Kota Makassar
73.71.02.1001,Sambung Jawa,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1002,Parang,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1003,Mamajang Luar,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1004,Mamajang Dalam,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1005,Maricaya Selatan,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1006,Bonto Lebang,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1007,Pa'batang,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1008,Bonto Biraeng,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1009,Labuang Baji,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1010,Mandala,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1011,Tamparang Keke,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1012,Baji Mappakasunggu,73.71.02,Mamajang,73.71,Kota Makassar
73.71.02.1013,Karang Anyar,73.71.02,Mamajang,73.71,Kota Makassar
73.71.03.1001,Maricaya,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1002,Bara Baraya,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1003,Maradekaya,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1004,Lariangbangi,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1005,Maccini,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1006,Maricaya Baru,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1007,Bara Baraya Timur,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1008,Bara Baraya Selatan,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1009,Maradekaya Selatan,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1010,Barana,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1011,Maccini Parang,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1012,Maccini Gusung,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1013,Maradekaya Utara,73.71.03,Makassar,73.71,Kota Makassar
73.71.03.1014,Bara Baraya Utara,73.71.03,Makassar,73.71,Kota Makassar
73.71.04.1001,Maloku,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1002,Mangkura,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1003,Pisang Selatan,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1004,Pisang Utara,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1005,Baru,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1006,Bulogading,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1007,Lae-Lae,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1008,Losari,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1009,Sawerigading,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.04.1010,Lajangiru,73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.05.1001,Pattunuang,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1002,Melayu,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1003,Butung,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1004,Malimongan Tua,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1005,Ende,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1006,Mampu,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1007,Malimongan,73.71.05,Wajo,73.71,Kota Makassar
73.71.05.1008,Melayu Baru,73.71.05,Wajo,73.71,Kota Makassar
73.71.06.1001,Malimongan Baru,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1002,Wajo Baru,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1003,Gaddong,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1004,Bontoala,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1005,Baraya,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1006,Layang,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1007,Parang Layang,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1008,Bontoala Tua,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1009,Bontoala Parang,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1010,Tompo Balang,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1011,Bunga Ejaya,73.71.06,Bontoala,73.71,Kota Makassar
73.71.06.1012,Timungan Lompoa,73.71.06,Bontoala,73.71,Kota Makassar
73.71.07.1001,Pannampu,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1002,Kalukuang,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1003,Kaluku Bodoa,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1004,Rappojawa,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1005,Rappokalling,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1006,Lakkang,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1007,Tallo,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1008,La'latang,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1009,Wala-Walaya,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1010,Tammua,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1011,Buloa,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1012,Suangga,73.71.07,Tallo,73.71,Kota Makassar
