kode,desa,kode_kecamatan,kecamatan,kode_kabkot,kabkot
33.74.01.1001,Miroto,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1002,Brumbungan,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1003,Jagalan,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1004,Kranggan,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1005,Gabahan,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1006,Kembangsari,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1007,Sekayu,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1008,Pandansari,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1009,Bangunharjo,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1010,Kauman,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1011,Purwodinatan,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1012,Karang Kidul,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1013,Pekunden,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1014,Pindrikan Kidul,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.01.1015,Pindrikan Lor,33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.02.1001,Bandarharjo,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1002,Bulu Lor,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1003,Plombokan,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1004,Purwosari,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1005,Kuningan,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1006,Panggung Lor,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1007,Panggung Kidul,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1008,Tanjung Mas,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.02.1009,Dadapsari,33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.03.1001,Kemijen,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1002,Rejomulyo,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1003,Mlatibaru,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1004,Kebonagung,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1005,Mlatiharjo,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1006,Bugangan,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1007,Sarirejo,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1008,Rejosari,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1009,Karangturi,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.03.1010,Karangtempel,33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.04.1001,Tambakrejo,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.04.1002,Kaligawe,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.04.1003,Sawah Besar,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.04.1004,Sambirejo,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.04.1005,Siwalan,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.04.1006,Pandean Lamper,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.04.1007,Gayamsari,33.74.04,Gayamsari,33.74,Kota Semarang
33.74.05.1001,Sembungharjo,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1002,Kudu,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1003,Karangroto,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1004,Genuksari,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1005,Banjardowo,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1006,Gebangsari,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1007,Trimulyo,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1008,Penggaron Lor,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1009,Muktiharjo Lor,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1010,Bangetayu Kulon,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1011,Bangetayu Wetan,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1012,Terboyo Kulon,33.74.05,Genuk,33.74,Kota Semarang
33.74.05.1013,Terboyo Wetan,33.74.05,Genuk,33.74,Kota Semarang
33.74.06.1001,Penggaron Kidul,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1002,Tlogomulyo,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1003,Tlogosari Wetan,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1004,Tlogosari Kulon,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1005,Muktiharjo Kidul,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1006,Plamongansari,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1007,Gemah,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1008,Pedurungan Kidul,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1009,Pedurungan Lor,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1010,Pedurungan Tengah,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1011,Palebon,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.06.1012,Kalicari,33.74.06,Pedurungan,33.74,Kota Semarang
33.74.07.1001,Randusari,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1002,Bulustalan,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1003,Barusari,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1004,Mugasari,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1005,Pleburan,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1006,Wonodri,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1007,Peterongan,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1008,Lamper Lor,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1009,Lamper Kidul,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.07.1010,Lamper Tengah,33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.08.1001,Candi,33.74.08,Candisari,33.74,Kota Semarang
33.74.08.1002,Jatingaleh,33.74.08,Candisari,33.74,Kota Semarang
33.74.08.1003,Kaliwiru,33.74.08,Candisari,33.74,Kota Semarang
33.74.08.1004,Jomblang,33.74.08,Candisari,33.74,Kota Semarang
33.74.08.1005,Karanganyar Gunung,33.74.08,Candisari,33.74,Kota Semarang
33.74.08.1006,Tegalsari,33.74.08,Candisari,33.74,Kota Semarang
33.74.08.1007,Wonotingal,33.74.08,Candisari,33.74,Kota Semarang
33.74.09.1001,Karangrejo,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1002,Bendan Dhuwur,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1003,Bendan Ngisor,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1004,Sampangan,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1005,Gajahmungkur,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1006,Lempongsari,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1007,Petompon,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.09.1008,Bendungan,33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.10.1001,Meteseh,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1002,Rowosari,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1003,Mangunharjo,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1004,Bulusan,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1005,Kramas,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1006,Tembalang,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1007,Jangli,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1008,Tandang,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1009,Kedungmundu,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1010,Sendangguwo,33.74.10,Tembalang,33.74,Kota Semarang
33.74.10.1011,Sendangmulyo,33.74.10,Tembalang,33.74,Kota Semarang
